id,title,description,link,image_link,availability,condition
hanastel-med-jardarberjum,Strawberry cocktail – Hanastél með jarðarberjum,"In Icelandic, a cocktail is usually a ""kokkteil"" or a ""kokteil"", but the term ""hanastél"" is also sometimes still used. It is simply the literal translation. ""Hani"" is the Icelandic word for ""cock"" and ""stél"" means ""tail. So ""hanastél"" means literally ""a cock's tail"".
#icelandicrecipes #nordickitchen #iceland #yummyiceland #drinks",https://yummy-iceland.blogspot.com/2025/02/hanastel-me-jararberjum.html,https://islandmarkus.github.io/yummy-pins/pins/hanastel-med-jardarberjum.jpg,in stock,new
skinkusalat,Ham salad – Skinkusalat,"Here I quickly made a salad with ham and eggs for dinner. This is a traditional, simple recipe, simply made with ham, boiled eggs, sour cream and a little ketchup - all
#icelandicrecipes #nordickitchen #iceland #yummyiceland #meat",https://yummy-iceland.blogspot.com/2025/01/skinkusalat.html,https://islandmarkus.github.io/yummy-pins/pins/skinkusalat.jpg,in stock,new
epla-skyr-boost,Apple Skyr Booster – Epla Skyr Boost,"Sometimes I don't really have time to cook on the weekend, so all I have during the day is a fresh Skyr booster. This is a particularly uncomplicated, quick recipe, with vanilla skyr, an apple, some ground cinnamon and a few ice cubes. Peel the apple, throw all the
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #drinks",https://yummy-iceland.blogspot.com/2025/01/epla-skyr-boost.html,https://islandmarkus.github.io/yummy-pins/pins/epla-skyr-boost.jpg,in stock,new
skyr-med-sukkuladi-og-appelsinu,Chocolate Orange Skyr – Skyr með súkkulaði og appelsínu,"Today in Iceland we celebrate bóndadagur, i.e. Men's Day. The Old Icelandic calendar only knew two seasons, winter and summer. The winter month of Þorri #, the ""drought month"", begins on Friday between January 18th and 24th, i.e. on January 24th in this year 2025. On the first day of this month, the traditional feast Þorrablót was celebrated, which also paid special tribute to the master of the house. From this tradition came the bóndadagur, i.e. the “day of the landlord”. Today bóndadagur has become “Husbands Day”; you give your husband flowers, treat him to delicious food or in other ways. As a surprise for my husband today, I have this delicious chocolate skyr with dark chocolate and fresh orange. And afterwards we have a barbecue with the family present... In this sense: Gleðilegan bóndadag! Happy Men's Day!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #skyr",https://yummy-iceland.blogspot.com/2025/01/skyr-me-sukkulai-og-appelsinu.html,https://islandmarkus.github.io/yummy-pins/pins/skyr-med-sukkuladi-og-appelsinu.jpg,in stock,new
graen-skyrskal,Green Skyr Bowl – Græn skyrskál,"My husband wanted the healthiest possible start to the year, so I try to include a lot of fruit and vegetables in our diet. Here I tried a recipe for a nice green skyr bowl, with avocado, orange and spinach as well as some mint. Finally, sliced ​​almonds and coconut flakes are added to the skyr bowl, on the one hand for the look - but above all for the feel, the crunchy almond flakes and the dried coconut flakes form an interesting contrast to the thick, soft skyr mixture when eating.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #skyr",https://yummy-iceland.blogspot.com/2025/01/grn-skyrskal.html,https://islandmarkus.github.io/yummy-pins/pins/graen-skyrskal.jpg,in stock,new
jolaskyrmus,Christmas Skyr Mousse – Jólaskyrmús,"I just realized that I haven't shown you this quick recipe for a Christmas cinnamon skyr dessert yet. Okay, Christmas is over now, but before the poor recipe ends up lying dormant in the vault for the next 12 months, I'd better show it to you now. Maybe you want to use up a few last gingerbread cookies or other Christmas cookies and I think cinnamon is always delicious anyway!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #christmas #dessert",https://yummy-iceland.blogspot.com/2025/01/jolaskyrmus.html,https://islandmarkus.github.io/yummy-pins/pins/jolaskyrmus.jpg,in stock,new
tunfisksalat-med-skyri,Tuna salad with skyr – Túnfisksalat með skyri,"If you're looking for a delicious dip for New Year's Eve or another nice occasion, I could also recommend this one - that is, if you like fish. In any case, the fish thing is a bit of a critical point for my family - the majority of people are fine with grilled salmon, but beyond that it becomes difficult... No matter - I think this tuna salad with crackers is delicious! For the part of the family that doesn't like fish, there's the cheese and bacon dip that we had at Christmas. At least I can always use it for my youngest!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #sidedish #skyr",https://yummy-iceland.blogspot.com/2024/12/tunfisksalat-me-skyri.html,https://islandmarkus.github.io/yummy-pins/pins/tunfisksalat-med-skyri.jpg,in stock,new
piparkokukaka,Gingerbread cake – Piparkökukaka,"For the Christmas breakfast last week with my colleagues I baked a gingerbread cake - for a Christmas touch. Simply mix the spices that I would otherwise put into the gingerbread dough into the cake dough, it smells wonderful and thanks to the baking powder and baking soda it also becomes wonderfully fluffy. And since there are no nuts in the dough, colleagues who have a nut allergy and can never eat gingerbread were also able to eat, because there are nuts in everything. Actually, a cream cheese glaze was supposed to be used, but since I had to transport the cake in the car and couldn't keep it cool all the time, I preferred to make a simple powdered sugar glaze, which also goes very well with gingerbread!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #christmas #dessert",https://yummy-iceland.blogspot.com/2024/12/piparkokukaka.html,https://islandmarkus.github.io/yummy-pins/pins/piparkokukaka.jpg,in stock,new
rjupa-og-sosa,Ptarmigan and sauce – Rjúpa og sósa,"A classic Icelandic Christmas food is ptarmigan (rjúpa). However, the animal population in Iceland is declining drastically, which is why ptarmigan hunting has been increasingly restricted, for example hunting is only allowed on certain days of the year and the number of animals per hunter is also limited. Hunting is only permitted for personal use; selling is prohibited. However, you can now find ptarmigan from Great Britain frozen in Icelandic supermarkets - either breasts or whole birds. On average, a bird weighs just around 400 g.   Classic side dishes for the ptarmigan here with the sauce are potatoes, peas and cold red cabbage, but fresh salad, for example, also tastes good with it.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #christmas #icelandiccuisine",https://yummy-iceland.blogspot.com/2024/12/rjupa-og-sosa.html,https://islandmarkus.github.io/yummy-pins/pins/rjupa-og-sosa.jpg,in stock,new
heitt-sukkuladi,Hot chocolate – Heitt súkkulaði,"This year my husband gave me an Advent calendar with Icelandic chocolate bars, one bar of chocolate every day. By the way, quite a few of them are made with licorice chocolate - typically Icelandic! In the evening I made hot chocolate with milk from a large bar of my beloved Þristur licorice chocolate. I think there's nothing like hot chocolate with a light licorice flavor when I want to make myself comfortable in the winter evenings and relax and wind down after a stupid day.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #drinks #licorice",https://yummy-iceland.blogspot.com/2024/12/heitt-sukkulai.html,https://islandmarkus.github.io/yummy-pins/pins/heitt-sukkuladi.jpg,in stock,new
fiskibollur-med-raekjusosu,Fish balls in crab sauce – Fiskibollur með rækjusósu,"Fiskibollur, i.e. fish balls or fish cakes, are an integral part of everyday Icelandic cuisine. They are regularly found in schools, kindergartens and similar institutions. You can buy fish cakes chilled or frozen in practically every supermarket here in Iceland. You can also easily make them yourself without much effort. I already have recipes for fish cakes here on the blog, for example very classic fried fish cakes, a long-time favorite from November 2017, for fish cakes with spinach from June 2016 or for spicy fish cakes with coriander and chili from June 2019.   I recently came across this recipe for fish cakes in an old Icelandic cooking magazine - the fish cakes are served in a beautifully spicy tomato and crab sauce. I found that interesting and I really wanted to try it out! I have to say - the fish cakes were good, but the crab sauce was really delicious, I'll definitely make that more often! The recipe is for 4 servings.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #fish #icelandiccuisine",https://yummy-iceland.blogspot.com/2024/11/fiskibollur-me-rkjusosu.html,https://islandmarkus.github.io/yummy-pins/pins/fiskibollur-med-raekjusosu.jpg,in stock,new
godklumpar,Tasty lumps – Góðklumpar,"Is it too early to bake cookies in mid-November? Well, they aren't Christmas cookies yet, but sweet little cookies that I baked here. Sweet, delicious and nice and fluffy - I definitely enjoyed these cookies!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #cookies #pastries",https://yummy-iceland.blogspot.com/2024/11/goklumpar.html,https://islandmarkus.github.io/yummy-pins/pins/godklumpar.jpg,in stock,new
graenkalspesto,Kale pesto – Grænkálspestó,"In other countries, kale is a typical winter vegetable. It is often said that kale should only be harvested after the first frost. Kale doesn't actually need frost to convert starch into sugar; generally low temperatures are enough. Ripe kale contains hardly any starch that could be converted, but continues to produce glucose through photosynthesis. And “generally low temperatures” are not a problem in Iceland, where the low temperatures often exist all summer long.  Here in Iceland, kale grows outdoors and thrives particularly well. The harvest time is usually from July to December and the kale can then be bought fresh in the supermarket. Since there are not that many vegetables here that can grow without geothermal energy, kale is used in a variety of ways in Icelandic cuisine, for example fresh in salads, smoothies or juices, cooked in soups, fried as a side dish or casseroles. There are also kale chips - and they are also very suitable for fresh pesto. Kale is also good for a healthy diet - like most types of cabbage, it is rich in vitamins, minerals, fiber and protein. It even ranks first among cabbage varieties in terms of its content of vitamins B, E and K, calcium, folic acid and iron. It also contains a number of phytochemicals that regulate cholesterol and blood sugar levels and strengthen the immune system.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #icelandiccuisine #sidedish",https://yummy-iceland.blogspot.com/2024/11/grnkalspesto.html,https://islandmarkus.github.io/yummy-pins/pins/graenkalspesto.jpg,in stock,new
eggjakaka-med-gradosti-og-eplum,Omelette with blue cheese and apple – Eggjakaka með gráðosti og eplum,"Today I have a recipe for a nice, cozy weekend's breakfast for you, maybe for a brunch.I found the recipe for it in an Icelandic cookbook from 1982, Omelet with cheese, apple and blue cheese. Sounds a bit unusual, but I think it's actually really tasty!   But I also love blue cheese. Here I used my personal favorite Icelandic cheese: Ljótur. ""Ljótur að utan, ljúfur að innan"" - ""ugly on the outside, lovely on the inside"" is the motto of this blue cheese, which has been produced for several years by the Icelandic dairy MS in Búðardalur in western Iceland. The cheese is not particularly crumbly and it looks impressively ugly from the outside, but tastes wonderful to us!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #icelandiccuisine",https://yummy-iceland.blogspot.com/2024/10/eggjakaka-me-graosti-og-eplum.html,https://islandmarkus.github.io/yummy-pins/pins/eggjakaka-med-gradosti-og-eplum.jpg,in stock,new
sykurlaus-karamelluterta-med-kanil-og-bananarjoma,Sugar-free caramel cake with cinnamon and banana cream – Sykurlaus karamelluterta með kanil og bananarjóma,"Yesterday we had a visit from a friend who is trying to eat as little sugar as possible - so I tried to bake a compatible cake. Icelanders often love sweet cream cakes, so I was very happy when I discovered a recipe for sugar-free cream cake on an Icelandic website. As a sugar substitute I used sprinkled sweetener (strásæta), which I bought here at Bónus, but as far as I know you can also find it in other shops, such as Hagkaup. The sprinkled sweetener consists of erythritol, has around 70% of the sweetness of table sugar and can in principle be used like sugar when baking. Erythritol is odorless, heat-stable and does not bind moisture from the environment, meaning unlike sugar, it does not clump. When dissolved in liquids, it has a cooling effect. It is almost calorie-free (0.2 kcal per 100 g) and, according to studies from the 1990s, has no effect on blood sugar or insulin levels. Additionally, it cannot be metabolized by oral bacteria and therefore does not cause tooth decay. However, it is recommended that a healthy adult should not consume more than 35 g of erythritol per day on average to avoid a laxative effect and, if possible, no increased risk of heart disease and blood clots.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #pastries",https://yummy-iceland.blogspot.com/2024/10/sykurlaus-karamelluterta-me-kanil-og.html,https://islandmarkus.github.io/yummy-pins/pins/sykurlaus-karamelluterta-med-kanil-og-bananarjoma.jpg,in stock,new
canned-peas-for-christmas,Canned peas for Christmas,"Grænar baunir með uppstúf A traditional Icelandic Christmas meal actually includes canned peas as a side dish (often eaten cold, as well as cold red cabbage). Typically accompanied by white sauce, roux, called ""uppstúfur"", ""uppstúf"" or ""jafningur"" in Icelandic. By the way, I owe this recipe to Sabrina from Bite-Sized Iceland, where we took part in her Food Tour at the Old Harbour of Reykjavík in the summer. Sabrina is American and married to an Icelandic man for over 20 years. They initially lived in Denmark with their children for a long time, but for several years now they have been living in Iceland, near their Icelandic mother-in-law. On her food tour, Sabrina told us, among other things, about the typical Icelandic Christmas meal and about a special specialty of her mother-in-law. Her mother-in-law always uses the liquid from the can of peas for the white sauce. “It sounds nasty, but it tastes incredibly delicious”, was Sabrina’s conclusion.   Of course I had to try it - I love Christmas, I love Christmas food, I love Icelandic food. So absolutely perfect for me! And after test-eating, I can only agree with Sabrina's conclusion - sounds nasty, but tastes incredibly delicious! The canned pea liquid gives the roux a wonderfully velvety taste! By the way, did you know that statistically every Icelander eats two cans of canned peas at Christmas? With around 380,000 Icelanders, around 760,000 cans of these peas are sold here every Christmas!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #christmas #icelandiccuisine",https://yummy-iceland.blogspot.com/2024/10/canned-peas-for-christmas.html,https://islandmarkus.github.io/yummy-pins/pins/canned-peas-for-christmas.jpg,in stock,new
haustsupa,Autumn soup with minced meat – Haustsúpa,"It is now really autumn. The sheep roundups are over, the animals are back in the pastures on the farms or on the way to the butcher. The supplies for the winter are being prepared. The Icelandic cuisine in autumn is in accordance with this - for example, a typical Icelandic autumn soup consists of minced meat, with or without bacon, chopped tomatoes, broth and lots of vegetables and potatoes. I brought you a recipe for such an autumn soup ( haustsúpa ) today. The soup is then served with a dollop of sour cream and herbs.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #icelandiccuisine #meat",https://yummy-iceland.blogspot.com/2024/10/haustsupa.html,https://islandmarkus.github.io/yummy-pins/pins/haustsupa.jpg,in stock,new
bananabraud,Banana bread – Bananabrauð,"Recently a friend of mine had a question: She had bought a delicious banana bread in a shop in Flúðir, less bread, actually more of a cake, similar to marble or lemon cake, but with banana flavor. She wanted to bake something like this herself, but was still looking for a recipe. The recipes she had found on my blog were too much in the direction of bread and not enough in the direction of cake... So at the weekend I tried another recipe and baked it together with my grandchild - and the result was this very tasty, very fluffy banana bread, actually much more cake than bread. I was very happy with the result, but both my grandchild and my youngest offspring were completely thrilled and both tucked in extensively. There was only a tiny piece left.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #icelandiccuisine",https://yummy-iceland.blogspot.com/2024/09/bananabrau.html,https://islandmarkus.github.io/yummy-pins/pins/bananabraud.jpg,in stock,new
sarah-bernhardt-i-ofnskuffu,Sörur from the baking tray – Sarah Bernhardt í ofnskúffu,"This weekend was my husband's birthday and we celebrated with family and friends. I baked a lot for the coffee table, including trying out a new recipe for ""Sörur from the baking tray"" - and I'm thrilled. This sweet with almond base, butter cream and chocolate is actually the invention of a Danish confectioner who developed it in 1911 on the occasion of Sarah Bernhardt (1844 - 1923)'s visit to Copenhaben. In Danish the sweet particles are called ""Sarah Bernhardt Kager"", in Sweden they are called ""biskvier"" and in Iceland it has become very popular as ""Sara"", in the plural then ""Sörur"", especially - but not only - at Christmas time . Normally Sörur is prepared as small, round, high-domed cakes and it is relatively time-consuming. Alternatively, I'm really excited about this tray version: the taste is just right - and baked in a tray and cut into cubes, it's also much easier to prepare, takes up a lot more space to store and is also great to eat in small portions!   Sörur - in a classic shape vs. cubes from baking tray
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #pastries",https://yummy-iceland.blogspot.com/2024/09/sarah-bernhardt-i-ofnskuffu.html,https://islandmarkus.github.io/yummy-pins/pins/sarah-bernhardt-i-ofnskuffu.jpg,in stock,new
blomkalssalat-med-dodlum-og-bonunum,Cauliflower salad with dates and bananas – Blómkálssalat með döðlum og bönunum,"Here in Iceland, I usually love having chopped dates on my pizza - so I was thrilled when I came across this recipe for cauliflower salad with dates. And had to try it straight away! However, I recommend mixing the salad and sauce just before serving and not letting the salad sit for too long, otherwise it might get a little mushy. By the way, a head of cauliflower weighs on average around 800 g - the cauliflower I got here in the store was quite small, only a handful at a time, and weighed around 500 g with everything. So I used two small heads.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #sidedish",https://yummy-iceland.blogspot.com/2024/09/blomkalssalat-me-dolum-og-bonunum.html,https://islandmarkus.github.io/yummy-pins/pins/blomkalssalat-med-dodlum-og-bonunum.jpg,in stock,new
